"","Title","Maker","Identification_Numbers","Categories","Entities","Acquisition_and_Important_Dates","Description","Dating","School_or_Style","Materials_Used_in_Production","Website"
"43","The Rape of Europa","Workshop: Maestro Giorgio Andreoli (Probably)|Workshop: uncertain (Uncertain)","Accession number: C.80-1927|Primary reference Number: 79940|Stable URI","Tin-glazed earthenware|Maiolica","Plate","Method of acquisition: Bequeathed (1926) by Harris, Frederick Leverton","Maiolica plate, painted in polychrome with The Rape of Europa. Pale buff earthenware, tin-glazed overall; the reverse pale beige and speckled. A small area on the base has crawled, revealing cream fabric. Painted in blue, green, yellow, orange, stone, dark brown, grey, black, and white; red, silvery-yellow, and on the back, pale yellow lustre. Shape approximately 55 but much shallower, with two concentric grooves under the outer edge. Circular with wide rim and shallow depression in the centre.
The Rape of Europa. On the upper left of the rim, Zeus sits on a cloud, accompanied by an eagle. On the right there is a tree, in front of which is a recumbent bull with Europa on its back, placing a garland of flowers round its horns. Opposite there are three cows, two of whom look towards Europa. In the middle she is represented again, being carried out to sea on the bull's back. In the landscape background there are rows of bushes and a city. The middle of the back is dated `1524' in yellow lustre, surrounded by three loose foliated scrolls alternating with three foliated sprays. The edge is yellow.","16th century|Renaissance|Production date: dated AD 1524","Renaissance","beige on the back Tin-glaze|buff Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/79940"
"44",NA,"Painter: Milan Marsyas Painter (Probably)","Accession number: MAR.C.61-1912|Primary reference Number: 79759|Stable URI","Tin-glazed earthenware|Maiolica","Dish","Method of acquisition: Bequeathed (1912) by Marlay, Charles Brinsley","Maiolica dish, painted in polychrome with Mount Parnassus, Apollo, Euterpe and Erato. Pale yellowish buff earthenware, tin-glazed overall. There is a fault in the glaze on the left of the rim and on the reverse it is pale beige and thinly applied. Painted in blue, green, yellow, orange, brown, black, grey, and white.
Shape 55. Circular with broad, sloping rim, shallow well and convex centre.
Parnassus. In the middle, Apollo sits playing a lyre in front of three trees. On the left, the Muse Euterpe sits holding a trumpet, and on the right, the Muse Erato, holding pipes. On each side a poet stands beside a tree; the one on the left looks away from the central group, the other towards it, holding his right index finger to his lips. Behind the figures there is a landscape and below, a window frame. On the upper right side there is a shield of Tuscan form, charged with the arms azure, an eagle displayed argent. The edge is yellow.","16th century|Renaissance|Circa 1530 CE - 1531 CE","Renaissance","Tin-glaze|Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/79759"
"45","A Battle","Workshop: Durantino, Guido (Probably)","Accession number: MAR.C.58-1912|Primary reference Number: 79718|Stable URI","Tin-glazed earthenware|Maiolica","Bowl|shallow bowl|dish","Method of acquisition: Bequeathed (1912) by Marlay, Charles Brinsley","Pale buff earthenware, tin-glazed overall; the reverse pale beige and faintly tinged with green. Painted blue, green, yellow, orange, brown, manganese-purple, black, and white. Circular with scalloped rim of twenty arcs, curved sides moulded with four double petal outlines, and convex centre, originally standing on a low foot.|Two armies in Roman costume, positioned on the right and left, are about to attack each other. One man has already been killed and lies on the ground in the middle. The commander of the troop on the right has an eagle crest on his helmet, and carries an oval shield charged with an eagle displayed below a crown; two soldiers behind him also have eagle crests. One of the opposing force carries a standard with a frog on it. In the landscape background there are tents, a tree, the sea and mountainous islands with buildings. The rim is yellow. On the back, the petals are outlined in blue and a yellow band encircles the rim.","16th century|Renaissance|Circa 1545 CE - 1560 CE","Renaissance","Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/79718"
"46",NA,"Potter: Unidentified Pesaro potter (Possibly)|Potter: Unidentified Urbania potter (Possibly)","Accession number: C.2271-1928|Primary reference Number: 79465|Stable URI","Tin-glazed earthenware|Maiolica","Two-handled bowl","Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Maiolica two-handled bowl, painted in blue, yellow, orange, and purple with an angel and inscription 'COMARE LA/SVPPA', and grotesque birds. Buff earthenware, tin-glazed overall. Painted in blue, yellow, orange, and manganese-purple.
Circular bowl with deep sides, domed foot, and two loop handles, each with a branch on each side near the top.
Inside, an angel holding a drape inscribed 'COMARE LA/SVPPA' (Godmother's or Mother's soup) is surrounded by small grotesque birds and plant ornament. The border comprises a wide yellow band, blue and yellow slanting dashes and dots, and a blue band. The rim is yellow with orange strokes over its edge. On each side of the exterior there are two grotesque birds, with above, a wide yellow band and below, four narrow orange bands superimposed on a wide yellow band. A blue band encircles the junction of the bowl and stem. The edge of the foot is yellow. The handles have yellow sides striped in orange and blue backs striped in manganese.","18th century|1700 CE - 1800 CE",NA,"Tin-glaze|Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/79465"
"47",NA,"Potter: Unknown (Uncertain)","Accession number: C.2209-1928|Primary reference Number: 79271|Stable URI","Tin-glazed earthenware","Pharmacy jar|Maiolica|albarello","Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Maiolica pharmacy jar, painted in blue, green, yellow, and orange, with a scroll round the middle inscribed `LOC D FARFA', across a garland of leaves and berries. Pale buff earthenware, tin-glazed off-white on the exterior and interior; base unglazed. The glaze is speckled. Painted in blue, green, yellow, and orange.
Cylindrical with convex swellings above and below the waist, and a short neck with expanding and everted rim.
Round the middle there is a scroll inscribed in blue Roman capitals `LOC D FARFA', across a garland of leaves and berries with wavy ribbons on each side. The area within the garland is yellow with an orange pomegranate above and below the label. Round the foot and neck there are yellow, orange, and blue horizontal bands.","Mid 16th century|Renaissance|Circa 1540 CE - 1570 CE","Renaissance","except base Tin-glaze|Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/79271"
"48",NA,"Maker: Unknown (Perhaps)","Accession number: C.2273-1928|Primary reference Number: 79135|Old object number: 4845|Stable URI","Tin-glazed earthenware|Maiolica","Salt|saliera","Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Earthenware, tin-glazed overall, except for the undersides of the feet. The glaze is thick, but where it lies thinly the fabric shows through it. Painted in yellow and orange.|The shallow, circular saltpan has an everted rim and is supported on the heads of four winged female terminal figures, rising from the corners of a square plinth on four paw feet.|Wide yellow lines between narrow orange lines run round the inner and outer edges of the rim of the salt pan and round the top and bottom of the sides of the plinth.","17th Century|Circa 1600 CE - 1650 CE",NA,"Tin-glaze|Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/79135"
"49",NA,"Potter: Unknown","Accession number: C.2206-1928|Primary reference Number: 79107|Stable URI","Tin-glazed earthenware","Plate|Maiolica","Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Maiolica plate, painted in blue with a bull in front of a building, two saddled horses galloping, a hound and foliage. Pale buff earthenware, tin-glazed overall. Painted in blue.
Circular with a broad, warped rim and shallow well.
On the left, a bull stands in front of a building. Two saddled but riderless horses gallop from left to right accompanied by a hound. There are plants and foliage round the lower edge of the rim and on the right side. At the top is an asymmetrical shield charged with the arms a demy vol and on a chief azure three mullets of six points, centre pierced, surmounted by a coronet and flanked by palm and laurel branches.","17th Century|Circa 1675 - 1725",NA,"Tin-glaze|Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/79107"
"50","The Virgin as Queen of Heaven","Maker: Unknown (Perhaps)","Accession number: C.2204-1928|Primary reference Number: 79091|Stable URI","Tin-glazed earthenware","Panel|Maiolica|devotional panel","Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Maiolica panel of The Virgin as Queen of Heaven, painted in blue, yellow, orange, and brown. Panel. Pale buff earthenware, tin-glazed on the front and parts of the outer edge. There is a large fault in the glaze on the left side of the Virgin. Painted in blue, yellow, orange, and manganese-brown.
Rectangular.
The Virgin stands with her hands clasped, wearing a billowing robe. Above her head is a halo composed of twelve stars and beneath her feet there is a serpent and a crescent moon. The background is yellow. On either side of her is an inscription in blue Roman capitals: `MARIA MATER MISERI CORDIAE 1744' (Mary Mother of Mercy). The edge is bordered by an orange scalloped line, a straight line, and linked S-scrolls. The back is inscribed in black, `.G.M./M/P.'.","Mid 18th Century|Production date: AD 1744 : dated","Baroque","Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/79091"
"51","St Martin and the Beggar","Maker: Unknown","Accession number: C.2203-1928|Primary reference Number: 79082|Stable URI","Tin-glazed earthenware","Panel|Maiolica","Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Maiolica panel, painted in polychrome with St Martin and the Beggar. Pale buff earthenware, tin-glazed on the front. Painted in blue, green, yellow, orange, and manganese-purple. Rectangular panel.
St Martin, wearing a helmet, knee-length tunic and cloak, and holding a spear, is mounted on a horse walking towards the left in profile. The beggar, naked except for a loin cloth, stands to the left of the horse, holding out his arms. A rectangular panel below is inscribed `.S. MARTINO/1725' in blue capitals. Round the edge are blue, yellow, orange, and green lines, within which at the top are three blue tufts.","18th century|Production date: AD 1725",NA,"Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/79082"
"52",NA,"Potter: Unidentified Deruta pottery (Probably)|Potter: Unidentified Faenza pottery (Possibly)","Accession number: C.2202-1928|Primary reference Number: 79079|Stable URI","Tin-glazed earthenware|Maiolica","Tray|Maiolica","Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Maiolica tray, painted in polychrome with a shield charged with a coat-of-arms. Pale buff earthenware, tin-glazed overall. Painted in blue, green, yellow, brownish-orange, and manganese-purple.
Rectangular with a raised moulded border, originally standing on four paw feet, of which three remain.
In the middle is a shield charged with the arms of the Lusignan Kings of Cyprus, Quarterly 1 Jerusalem, 2 Lusignan, 3 Armenia, 4 Luxemburg impaling Cornaro, per pale or and azure with a chief of the Order of St John, surmounted by a manganese-purple hat, and flanked by tassels, six on each side arranged one, two, three.","First half of 17th century|Circa 1615 CE - 1630 CE",NA,"Tin-glaze|Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/79079"
"53",NA,"Potter: Unknown (Perhaps)","Accession number: C.2197-1928|Primary reference Number: 79024|Old object number: 2590|Stable URI","Tin-glazed earthenware|Maiolica","Pharmacy jar","Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Dark buff earthenware, tin-glazed on the exterior; the interior lead-glazed or varnished brown. The base, and irregular patches on the upper side of the lower edge, are unglazed. Painted in blue, green, yellow, brownish-orange, and manganese-purple. Albarello with slightly waisted sides, rounded shoulders, and short cylindrical neck with everted rim.|The label is edged by blue and manganese lines, and inscribed in Roman capitals `T CI DI RANICH 1615'. Above is a winged cherub's head and below, a pharmacy badge: a shield enclosing the letters `M N' over a dot. surmounted by a saltire cross. The rest of the surface is decorated with orange and yellow fruits and foliage on scrolling stems. Two blue bands encircle the neck and the lower part of the jar.","17th Century|Production date: AD 1615 : dated","Renaissance","Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/79024"
"54",NA,"Potter: Unknown (Perhaps)","Accession number: C.2194-1928|Primary reference Number: 78773|Stable URI","Tin-glazed earthenware|Maiolica","Two-handled pharmacy jar|two-handled jar","Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Buff earthenware, tin-glazed creamy-white on the exterior and interior; base unglazed. Painted in blue, green, yellow, and orange. The jar's exterior surface is extremely shiny. Albarello tapering towards the base with two twisted handles, each with a thumb print at its lower end.|On each side is a rectangular panel of orange and blue geometrical ornament flanked by vertical green, yellow and green lines edged in blue. Above and below are four horizontal blue bands. The lower part is decorated with a row of reversed orange Ss and dots over two yellow bands, with three blue bands and a yellow band below. On the shoulder there are orange Cs and dots imposed on two yellow bands with three blue bands and one yellow above. The handles are yellow.","16th century|Circa 1500 CE - 1600 CE","Renaissance","Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/78773"
"55","Dish: a Turkish Lancer","Potter: Mancini Workshop (Possibly)","Accession number: C.100-1927|Primary reference Number: 78668|Stable URI","Tin-glazed earthenware","Dish|Maiolica|piatto di pompa","Method of acquisition: Bequeathed (1926) by Harris, Frederick Leverton","Dark buff earthenware, the front tin-glazed; the reverse probably slip-coated or tin-glazed before application of honey-yellow lead glaze. Painted in dark blue, green, yellow, and orange.|Shape 61. Circular with sloping rim, upturned at the edge and wide deep well, standing on a footring in which there are two holes for suspension at the top.|In the well, a mounted Turkish lancer gallops to the left. He wears a high-crowned turban and a long gown with a wide falling collar. A scarf or pennant streams out behind him. The landscape background has a low horizon, and the right half of the sky is dark blue and the left half is white. The rim is divided by radial stripes into six panels containing alternately scale pattern and a foliate scroll with formal flowers and fruits. A yellow band encircles the edge. On the back, inside the footring, there is a blue zigzag resembling an M or W with an extra stroke, crossed by a diagonal line, and outside the footring, two blue spirals.","16th century|Renaissance|Circa 1530 - 1555","Renaissance","Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/78668"
"56",NA,"Factory: Worcester Porcelain Factory","Accession number: C.3136-1928|Primary reference Number: 33101|Old object number: 3805|Stable URI","Soft-paste porcelain","Sweetmeat stand","Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Soft-paste porcelain shell sweetmeat stand, painted with exotic birds in leafy landscapes in polychrome enamels and gilt. Soft-paste porcelain sweetmeat stand, moulded, painted in red, yellow, green, purple and puce enamels and gilt. The three shell-shaped dishes are supported on a tri-lobed hollow base, encrusted with naturallistically moulded shells and coral, with a central conch shell, which forms the handle. Each of the shell-dishes is painted with an exotic bird in a leafy landscape, with the shells, coral and seaweed painted in naturalistic colours.","Third quarter of 18th century|George III|Production date: circa AD 1770","Rococo","presumed lead Lead-glaze|steatitic Soft-paste porcelain","https://data.fitzmuseum.cam.ac.uk/id/object/33101"
"57",NA,"Maker: Unidentified Orvieto pottery (Probably)|Maker: Unidentified Tuscan pottery (Possibly)","Accession number: C.137-1991|Primary reference Number: 48040|Packing number: EURCER 457|Stable URI","Tin-glazed earthenware|Maiolica","Two-handled bowl","Method of acquisition: Bequeathed (1991-04-29) by Reitlinger, Henry Scipio","Late Medieval maiolica two-handled bowl, painted in manganese and blue with, on the inside a double-armed cross and cross-hatching. Pale buff earthenware. The exterior and base are lead-glazed pale brown; the interior is tin-glazed pale grey. Painted in manganese and blue.
Shape 39. Circular with flat base, sloping sides, narrow flat rim and two wide strap handles with a thumb print at the top.
Inside, within two manganese concentric circles, there is a double-armed cross with cross-hatching and three scalloped lines between the arms; on the sides, blue criss-crosses and a manganese band.","14th Century|15th century|Medieval|Circa 1350 CE - 1425 CE","Medieval|maiolica arcaica blu","Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/48040"
"58",NA,"Potter: Unknown","Accession number: C.43-1911|Primary reference Number: 75065|Stable URI","Fritware","Vase|Islamic pottery|Blue and white ware|multi-neck vase","Method of acquisition: Given (1911-03-20) by The Friends of the Fitzwilliam Museum","Fritware painted in blue under a transparent glaze Fritware, moulded, painted in blue under a transparent glaze
Shape: slightly everted rim on a conical neck, a pear shaped body; three secondary necks on the shoulder alternating with protruding pointed lugs, sits on a splayed, low foot ring.
Exterior: all decoration is painted in reserve against a blue background. On the neck a frieze of seated Chinese figures wearing long robes and hats are surrounded by scrolls and roughly drawn flowers. The secondary necks on the shoulder have blue rims; between these necks, scrolls are painted on the shoulder. On the body, a further frieze of Chinese figures and a crane are again painted against a background of scrolls and flowers. A blue line is painted on the foot ring and just below the rim. The glaze is uneven on the foot ring, leaving areas uncovered; the underside of the base is glazed.
Interior: undecorated except for glaze","Late 17th to 18th century|Circa 1650 CE - Circa 1799 CE","Safavid","transparent, uneven on the foot ring Glaze|Fritware","https://data.fitzmuseum.cam.ac.uk/id/object/75065"
"59",NA,"Production: Unknown","Accession number: OC.32-1946|Primary reference Number: 77682|Oscar Raphael number: 10|Stable URI","Porcelain","Incense burner|tripod incense burner",NA,"Porcelain incense burner, Lung-ch'uan type. Ting tripod form with bulbous body, straight wide neck, and everted lip. Three tapering legs with moulded ridges on body corresponding to the position of legs, bottoms of the legs are unglazed and burnt reddish brown. Opaque grey green glaze, with light grey body showing through on the thinly glazed lip.|Half of the rim has been repaired with gold lacquer.",NA,NA,"Celadon glaze|Porcelain","https://data.fitzmuseum.cam.ac.uk/id/object/77682"
"60",NA,"Potter: Unknown","Accession number: C.431-1991|Primary reference Number: 75064|Packing number: ISCER 642|Stable URI","Fritware (stonepaste)","Dish|Islamic pottery|Lustreware","Method of acquisition: Bequeathed (1950) by Reitlinger, Henry Scipio","Fritware with a white glaze, painted with lustre Pinkish fritware, wheel thrown, white, slightly crazed, glaze painted in yellow-brown lustre.
Shape: conical dish with wide, everted rim and a low foot ring.
Interior: all decoration is painted in lustre. On the lip a frieze of Arabic script (cursive) is enclosed above and below by concentric bands of differing thickness. On the body a roughly drawn pattern, radiating from a central dot in the base, consists of alternating panels of horizontal wavey lines and arabesques with a cross-hatched lozenge at their centre.
Exterior: rim decorated with a band of lustre. Radiating from the lower body, panels of interlocking scrolls are separated by a pair of vertical lines, both painted in lustre. Glaze continues to the lower body where it has a reddish tinge, probably resulting from reaction with the lustre. Oval adhesion at one point near rim marks where another vessel touched the dish during firing.","Late 12th Century|Circa 1179 CE - 1198 CE","Seljuk|miniature style","Fritware","https://data.fitzmuseum.cam.ac.uk/id/object/75064"
"61",NA,"Production: Unknown","Accession number: OC.85-1946|Primary reference Number: 77851|Oscar Raphael number: 16|Stable URI","Stoneware","Vase","Method of acquisition: Bequeathed (1946) by Raphael, Oscar C.","Stoneware vase in turquoise. Incised under the base are the words ""Nei yung chic ch'i"", which is believed to translate as 'vessel for use within the house'.","Ming Dynasty|Possibly 1368 - Possibly 1398",NA,"Stoneware","https://data.fitzmuseum.cam.ac.uk/id/object/77851"
"62",NA,"Production: Unknown","Accession number: OC.82-1938|Primary reference Number: 77843|Stable URI","Stoneware","Jar","Method of acquisition: Given (1938-05-19) by Evans, Ivor H. N., MA","Stoneware globular jar with two ring handles and cup like mouth. Upper and lower body joined. Lower body with vertical, carved striations. Bluish green glaze stops unevenly above unglazed foot and base. Biscuit quite darkened. Decorative brass attachments used to suspend jar; records indicate that the chain was added in Sumatra.|The jar may have been used as an oil lamp or coconut oil container.","14th-16th century|1300 - 1599",NA,"Celadon glaze|Brass (alloy)|Stoneware","https://data.fitzmuseum.cam.ac.uk/id/object/77843"
"63",NA,"Potter: Unknown","Accession number: OC.7-1943|Primary reference Number: 77817|Stable URI","Glazed earthenware","Jar|Islamic pottery","Method of acquisition: Given (1942-03-03) by Goetze, Constance, Mrs","Earthenware with applied decoration, covered in a green glaze Buff earthenware, probably wheel thrown, with applied decoration on the shoulder covered in a thick greenish glaze
Shape: flat base and a pear shaped body on an angled neck which flares slightly to a rolled, incised rim. Loop handles are attached to the neck and shoulder.
Decoration: applied cable decoration is applied in a wavey line on the shoulder. A crazed glaze coats the surface to the lower body and interior neck.","8th-10th century|Circa 700 CE - Circa 999 CE","Abbasid","Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/77817"
"64",NA,"Potter: Unknown","Accession number: OC.7-1940|Primary reference Number: 77815|Stable URI","Fritware (stonepaste)","Fragment|Islamic pottery|Minai|sherd","Method of acquisition: Given (1940) by Hornblower, G. D., OBE","Fritware, wheel thrown, coated in white glaze painted in blue, black, red, green, white and buff and leaf gilding Fritware, wheel thrown, coated in white glaze painted in glaze in blue and over the glaze in black, red, green, white and buff, and leaf gilding.
Shape: roughly rectangular shaped fragment
Interior: seated figure, outlined in black, wearing a red cloak decorated with white scrolls, gold leaf armbands, green tunic and black hat. At the bottom left hand corner the partial body of animal, possibly a bird, is visible outlined in black and coloured in blue, green and red.
Exterior: partial frieze of black calligraphy","Late 12th dynasty-13th dynasty|Circa 1180 - 1219","Seljuk","white Glaze|Fritware","https://data.fitzmuseum.cam.ac.uk/id/object/77815"
"65",NA,"Production: Unknown","Accession number: OC.71-1946|Primary reference Number: 77811|Oscar Raphael: 86|Stable URI","Porcelain","Stem-cup","Method of acquisition: Bequeathed (1946) by Raphael, Oscar C.","Stem cup of a sandy porcellaneous body. Two dragons form the two handles. A bluish green glaze covers the cup, aside from the rim and dragon heads.","Song Dynasty|960 - 1279",NA,"Glaze|Porcelain","https://data.fitzmuseum.cam.ac.uk/id/object/77811"
"66",NA,"Potter: Unknown (Probably)","Accession number: C.548-1991|Primary reference Number: 75490|Packing number: ISCER 530|Stable URI","Fritware (stonepaste)","Bottle|Islamic pottery|Blue and white ware","Method of acquisition: Bequeathed (1950) by Reitlinger, Henry Scipio","Fritware painted in blue and a transparent white glaze Fritware, wheel thrown, painted in blue with outlining in dark blue under a transparent white, crazed glaze.
Shape: collared neck on a bulbous pear shaped body, sits on a wide, low foot ring
Exterior: the neck collar is painted blue above a frieze of rectangular panels containing framed stylised flower heads. On the shoulder, a frieze of trefoils with splayed stems is painted in reserve against a blue background. On the body, a frieze of ducks with ‘S’ shaped necks are separated by a floral spray, below which a band of buds and feathery leaves is painted. Glaze covers the body but sections of the base including the rim of base are bare. The underside of the foot ring is glazed but there is no signature or other mark visible on the base.

Oval label with a gold edge, inscribed '117' in pencil","Early 15th Century|Circa 1400 CE - 1425 CE","Timurid","Fritware","https://data.fitzmuseum.cam.ac.uk/id/object/75490"
"67",NA,"Potter: Unknown","Accession number: OC.66-1936|Primary reference Number: 77792|Stable URI","Fritware (stonepaste)","Bowl|Islamic pottery|Silhouette ware","Method of acquisition: Given (1936) by Raphael, Oscar C.","Fritware coated in a black slip, carved under a turquoise glaze Fritware, wheel thrown, coated in a black slip, carved under a turquoise glaze
Shape: hemispherical bowl with a slightly everted rim, sits on a foot ring.
Interior: on the body rectangular vertical panels are enclosed within concentric lines. In the roundel a winged bull with human head bearing a crown (probably a lamassu: mythical Assyrian beast, or a harpie) is surrounded by scrolling half palmettes.
Exterior: undecorated except for glaze that runs over the surface unevenly and pools on the foot ring.","12th Century|Circa 1100 CE - Circa 1199 CE","Seljuk","Fritware","https://data.fitzmuseum.cam.ac.uk/id/object/77792"
"68",NA,"Production: Unknown","Accession number: OC.64-1946|Primary reference Number: 77785|Oscar Raphael: 60|Stable URI","Stoneware","Vase|meiping","Method of acquisition: Bequeathed (1946) by Raphael, Oscar C.","Greyish stoneware vase of gallipot shape, with a white slip and flanged lip. Decorated with floral sprays in varying shades of brown, painted under a thick golden brown glaze. Tz'u Chou ware","Song Dynasty|960 - 1279",NA,"Glaze|Slip|Stoneware","https://data.fitzmuseum.cam.ac.uk/id/object/77785"
"69",NA,"Maker: Unknown","Accession number: OC.6-1946|Primary reference Number: 77778|Oscar Raphael: 1|Stable URI","Earthenware","Wine vessel|hu","Method of acquisition: Bequeathed (1941) by Raphael, Oscar C.","Green lead glazed earthenware hu. With ellipsoidal belly, high pedestal base, long and tubular neck, and large mouth which projects over neck. The vessel is decorated with raised bands which mark the neck, shoulders, body, and pedestal base. A pair of mould made, monster mark escutcheons have dots within the ring handles. The mouth rim has spur and drip marks which indicate that the vessel was fired upside down. The flat base shows a fine terracotta biscuit. On the bottom is scratched the word sun (grandsons)||The gold and silver iridescence is the effect of long burial.","Han Dynasty (BC 206 - AD 220)|Circa -0206 - 220",NA,"Lead-glaze|Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/77778"
"70",NA,"Potter: Unknown","Accession number: OC.6-1943|Primary reference Number: 77777|Stable URI","Fritware (stonepaste)","Jar|Islamic pottery|Monochrome glazed ware","Method of acquisition: Given (1942-03-03) by Goetze, Constance, Mrs","Fritware painted in black under a turquoise glaze Buff fritware, probably wheel thrown, painted in black under a turquoise glaze
Shape: everted, ledge rim on a body with straight sides descending via a carination onto a low, wide foot ring. A strap handle is attached to the rim and to a mid point on the body.
Exterior: painted in black lines under a turquoise glaze that runs over the surface to a point just above or on the carination. Thin spots of glaze are present on the under side of the foot ring. A fragment of another pot is adhered to the lower body due to poor firing conditions.
Interior: covered with turquoise glaze, no other decoration visible.","12th-13th Century|Circa 1200 CE - 1350 CE","Ayyubid","Fritware","https://data.fitzmuseum.cam.ac.uk/id/object/77777"
"71",NA,"Potter: Unknown","Accession number: OC.6-1940|Primary reference Number: 77775|Stable URI","Fritware (stonepaste)","Tile fragment|Islamic pottery|Lustre ware|Lajvardina|Category: sherd","Method of acquisition: Given (1940) by Hornblower, G. D., OBE","Fritware fragment, painted in blue and turquoise under the glaze and with lustre, brown pigment and gilding (or possibly painted with gold) over the glaze Fritware fragment, mould made, painted in blue and turquoise under a transparent white glaze, painted over the glaze with brown and lustre and gilded (or possibly painted with gold).
Shape: irregular fragment with chevron shaped moulding dividing the decoration on the upper surface
Upper surface: a central figure of a man dressed in a blue robe embellished with gold scrolls and wearing a halo is outlined with gold surface paint. Another larger figure is partially visible on the right hand edge dressed in a white robe embellished with lustre scrolls and also with a halo; he appears to be seated, or possibly enthroned. Painted around these figures, lustre rosettes and foliage. On the upper portion above the chevron moulding, gilded script is outlined with brown and reserved in blue.
Lower surface: undecorated except for later inscriptions","14th Century|Circa 1300 CE - Circa 1399 CE","Il-Khanid","Fritware","https://data.fitzmuseum.cam.ac.uk/id/object/77775"
"72",NA,"Production: Unknown","Accession number: OC.58-1946|Primary reference Number: 77765|Oscar Raphael: 99|Stable URI","Stoneware","Cup|teabowl","Method of acquisition: Bequeathed (1946) by Raphael, Oscar C.","Tea bowl of grey stoneware with an iron glaze of chocolate brown, with yellowish brown marks.|The Japanese refer to these bowls as 'temmoku'","Song Dynasty|960 - 1279",NA,"Glaze|Stoneware","https://data.fitzmuseum.cam.ac.uk/id/object/77765"
"73",NA,"Production: Unknown","Accession number: OC.55-1946|Primary reference Number: 77756|Oscar Raphael: 2|Stable URI","Stoneware","Bowl","Method of acquisition: Bequeathed (1946) by Raphael, Oscar C.","Stoneware bowl of conical shape, with a spreading mouth and small foot. Dark brown body with thick black glaze, which is dotted thickly with oval shaped drops of a red copper colour. Numeral chi (7) is cut in to the base. Chien ware","Song Dynasty|960 - 1279",NA,"Glaze|Porcelain","https://data.fitzmuseum.cam.ac.uk/id/object/77756"
"74",NA,"Production: Unknown","Accession number: OC.53-1946|Primary reference Number: 77753|Oscar Raphael number: 120|Stable URI","Stoneware","Vase|mallet-shaped vase","Method of acquisition: Bequeathed (1905-04-24) by Raphael, Oscar C.","Stoneware mallet shaped vase, with a light grey body, and thick greyish green opaque glaze. Kinuta type. The vase has two moulded phoenix head handles on a long tubular neck. The base is glazed and recessed, with the unglazed outer rim burnt light reddish brown. The lip is thinly glazed.|Some unglazed parts inside vase burnt reddish and brown.","Song Dynasty|960 - 1279",NA,"Celadon glaze|Stoneware","https://data.fitzmuseum.cam.ac.uk/id/object/77753"
"75",NA,"Maker: Unknown","Accession number: C.46-1934|Primary reference Number: 77733|Old number: B.3|Stable URI","Earthenware","Cauldron","Method of acquisition: Bought (1934) by Brangwyn, Frank","Earthenware tripod ceremonial cooking vessel, with two curving handles. Imitating the ancient bronze cauldrons called ding. The nearly globular body with a projecting edge around the middle section has perforated loop handles which turn outward. Fine terracotta coloured biscuit.|In the areas unaltered by iridescence, the vessel is covered with a dark green lead glaze which coats the interior, exterior and base.||Missing cover. Interior edge of finger marked mouth rim has large chips and cracks, especially around the broken handle. Three spur marks are evident on the mouth rim. The vessel body has major repair below the handle. Glaze on feet chipped.","Han Dynasty (BC 206 - AD 220)|Circa -0206 - 220",NA,"Lead-glaze|Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/77733"
