,Title,Maker,Identification_Numbers,Categories,Entities,Acquisition_and_Important_Dates,Description,Dating,School_or_Style,Materials_Used_in_Production,Website
56,NA,Maker: Unknown (Perhaps),Accession number: C.2236-1928|Primary reference Number: 73277|Old object number: 1135|Stable URI,Tin-glazed earthenware,Tureen|Maiolica,"Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Earthenware, tin-glazed greyish-white overall. The glaze on the interior is speckled with grey. Painted in greyish-blue and gold.|Oval, standing on a footring. The deep lobed sides have fourteen scallops round the rim, and at each end there is the stump of an upward-curving handle.|The exterior is decorated with vertical panels outlined in blue and gold. At centre front there is a shield charged with the arms of Acquaviva d'Aragona Quarterly: 1,4, counter-quartered in pale, Aragon, Hungary, Anjou-Sicily and Jerusalem; 2,3, a lion rampant, impaling Salviati three bends double embattled sinister, encircled by the collar of the Order of St Januarius and surmounted by a ribbon bearing the motto `MARAAM' and a crown. The three panels to the left contain a king carrying two small vessels on a stand, a floral spray, and a man in classical dress with a basket of grapes on his head. The two panels on the right contain an actor in eighteenth-century costume holding his hat in his right hand, and a floral spray. Under the handle on the right there is a butterfly and under the other a winged insect. On the other side, the first, third, and fifth panels each contain a floral spray; the others contain a boy holding a basket of fruit above his head, an actor drawing his sword, and a woman standing with a basket of fruit on her head. Round the base there is a border of reserved half-flowers with gilt centres. The footring is blue with gilt lines, and the handles are blue with gilt loops or scales.",18th century|Circa 1747 - 1755,NA,Tin-glaze|Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/73277
57,NA,Potter: Ryonyu (Raku IX),Accession number: C.124-1934|Primary reference Number: 71650|Stable URI,Earthenware,Tea bowl|Japanese pottery|Black Raku,"Method of acquisition: Bought (1934-09-20) by Brangwyn, Frank",Hand-built footed tea bowl of very coarse grey-white earthenware with a thick black Raku glaze. Raku spiral in foot ring. Hollow at the centre of well. Vertical slicing on one side.,"Late 18th or early 19th century|Edo (Japanese period, 1615-1868)|Circa 1775 - Circa 1825",NA,black Raku Glaze|coarse grey-white Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/71650
58,NA,Pottery: unidentified Langnau pottery,Accession number: C.1884 & A-1928|Primary reference Number: 72807|Old object number: 3502|Stable URI,Lead-glazed earthenware|Swiss slipware,Sugar bowl|Cover,"Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Earthenware, decorated with slip, and lead-glazed",Circa 1780 CE - 1800 CE,NA,red Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/72807
59,NA,Pottery: Unknown,Accession number: C.90-1984|Primary reference Number: 16534|Old object number: O|Box number: 95|Stable URI,Porcelain,Pot|brush pot,"Method of acquisition: Given (1984) by Gompertz, G. St. G. M., Mr and Mrs","Square brush pot. Porcelain, moulded, pierced, incised, and glazed. The foot of this brush pot has cut barbed (ansang) openings as often seen on wooden pedestals. The four sides are carved in the form of bamboo stems and pierced with cross-shaped openings. The white glaze has a pale blue tinge and a slight gloss. The four corner feet show traces of fire-clay supports.",19th century|Choson Dynasty (1392 - 1910)|Circa 1800 - 1850,NA,NA,https://data.fitzmuseum.cam.ac.uk/id/object/16534
60,NA,Production: Unidentified Staffordshire Pottery,Accession number: C.274-1928|Primary reference Number: 74003|Old object number: 3372|Stable URI,Lead-glazed earthenware|Slipware,Egg stand|night light,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Yellowish-buff earthenware, thrown and carved, coated wtih cream and dark brown slips, slip-trailed. and lead-glazed. The base is unglazed and has several smudgy marks in red slip. The stand is circular with vertical sides which slope outwards a little towards the top, and are pierced by five rectangular apertures. The top is slightly domed and is pierced by a central circular hole surrounded by five larger roughly circular holes. In the centre of the base, under the central hole, there is a fixed, shallow circular bowl. The exterior is coated in brown slip, and is decorated in cream slip on each of the side walls with a rectangle of trellis, and an outline round each of the apertures. The top has a circle of slip round each of the large holes and a circle of dots round the central hole, which is surrounded by five larger spots. The initials' W M' occupy two of the spaces between the large holes, and the date, 1 69 4 occupies the other spaces.",Late 17th Century|William III and Mary II|Production date: dated AD 1694 : MaryII died on 28 December 1694,NA,yellowish-buff Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/74003
61,NA,"Maker: Abbott, Marie",Accession number: T.66-1928|Primary reference Number: 110612|Stable URI,Embroidery,Sampler|Category: band sampler,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Linen band sampler embroidered with polychrome wools, inscribed at the top with an alphabet, the name ""MArie Ab/bott"" and the words 'Have God IN MINde' Linen band sampler embroidered with polychrome wools in double running, cross, long-armed cross, Montenegrin cross, Algerian eye, and buttonhole stitch with some speckling and detached needlepoint filling stitches. All the edges of the sampler are hemmed. The sampler has sixteen horizontal bands with much of the left side used for small all-over designs, three vertically worked border patterns, and two short examples of wider horizontal repeating border designs. The sixteen horizontal bands include repeat floral border patterns, one with pineapple motifs, another with 'boxers' and at the top, an alphabet and an inscription: 'HAvE God IN MINde MArie Abbott' with the final 'bott' worked in the band above",Mid-late 17th Century|Circa 1650 CE - Circa 1701 CE,NA,"ground Linen|orange, blue, green, pink Wool",https://data.fitzmuseum.cam.ac.uk/id/object/110612
62,Grecian Sphinx,"Factory: Wedgwood|Designer: Adam, Robert (After)",Accession number: MAR.C.8-1912|Primary reference Number: 11167|Stable URI,Stoneware,Animal figure|Black basalt,"Method of acquisition: Bequeathed (1912) by Marlay, Charles Brinsley","Black basalt, moulded. The sphinx crouches on a rectangular pedestal, with its forepaws extended at the front, and its tail curled over its hind quarters. It wears a semi-circular headdress, a bodice, and a saddle blanket, which falls down onto the base. Underneath there is a large circular hole surrounded by four small holes, with a medium-sized hole to the right.",Neoclassical|After 1800 CE - Before 1900 CE,Neoclassical,Black basalt,https://data.fitzmuseum.cam.ac.uk/id/object/11167
63,NA,Production: uncertain,Accession number: C.1272 & A-1928|Primary reference Number: 71710|Old object number: 2164|Stable URI,Stoneware|Red dry-bodied stoneware,Teapot,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Red dry-bodied stoneware teapot with stylized plant decoration in relief, painted in enamels Red dry-bodied stoneware, slip-cast, glazed internally, and painted externally in two shades of blue, pale turquoise, yellowish-green, yellow, white, and black enamels. The body is oval in plan with a slighly concave base. The sides curve outwards from the base and then rise almost vertically to the flat shoulder. The oval mouth has a raised edge and an internal horizontal flange to support the cover which is slightly domed and has a ventilation hold, and an open flower knob. The pot has an upward curving spout with eight holes surrounding two holes in the wall behind it to emit the tea. The strap handle has an acanthus leaf at the top and bottom, and an internal spur about a third of the way up. The sides of the pot are decorated in relief with a row of yellowish-green anthemion motifs between horizontal blue bands, above which is a scrolling black stem bearing blue and yellow stylized flowers and pale turquoise trefoil leaves. The shoulder is decorated with radiating yellowish-green pointed leaves with blue and yellow bell-flowers in the spaces. The mouth is encircled by white spots on a blue band. The spout has black scrolling foliage and a yellow flower on each side, a yellow stroke on the top, three blue and two yellow flowers on its underside and a blue band round its mouth. The foliage on the handle is outlined in black and it has a vertical yellow stroke on its back. The cover has a band of black scrolling foliage with blue and yellow flowers, and a circle of pointed yellowish-green leaves around the junction of the knob, whichhas a blue and white centre.",NA,Neoclassical,Red dry-bodied stoneware,https://data.fitzmuseum.cam.ac.uk/id/object/71710
64,NA,Potter: Unknown,Accession number: C.693-2016|Primary reference Number: 208375|Sale catalogue photo number: K241|Stable URI,Pottery|Studio Ceramics,Bowl,"Method of acquisition: Bequeathed (2016) by Shakeshaft, John, Dr",Bowl. Shino with glaze pours in brown,Production date: before AD 2015,NA,Pottery|Shino glaze,https://data.fitzmuseum.cam.ac.uk/id/object/208375
65,NA,Potter: Unidentified Frechen pottery|Silversmith: Unidentified London silversmith,Accession number: EC.32-1941|Primary reference Number: 76948|Alternate number: M/P.1-1941|Stable URI,Stoneware|Brown salt-glazed stoneware|German stoneware,Jug|flagon,Method of acquisition: Given (1941-10-16) by The Friends of the Fitzwilliam Museum,"Salt-glazed stoneware with silver-gilt mounts and cover Salt-glazed stoneware with a bulbous body, cyclindrical neck, spreading foot, and applied handle. The foot, neck, and top of the loop handle have silver-gilt mounts, and the thumbpiece and cover are also silver-gilt. The flat foot ring is cast and decorated with an egg and dart border. Above this is a border of dentil moulding. Cut stylised leaves hold the pottery foot in place. The neck mount is engraved with strapwork and scrolling foliage. The slightly domed cover is embossed and chased with three masks within scrolled cartouches; between are bunches of fruit on a matted ground. The urn-shaped finial stands on a gadrooned knop. The thumbpiece is a cast mask, possibly Neptune.",Third quarter of 16th century|Elizabeth I|1576 CE - 1577 CE,Renaissance,NA,https://data.fitzmuseum.cam.ac.uk/id/object/76948
66,Jug,"Potter: Unidentified Iznik pottery|Goldsmith: Hoffman, John (Jan) (Possibly)",Accession number: M.16-1948|Primary reference Number: 77216|Sketchfab model Stable URI,Fritware|Islamic pottery|Iznik pottery,Jug,Method of acquisition: Bought (1948-11-18) by Mallett & Son,"Fritware, wheel thrown, painted red slip, blue green and black under a colourless, slightly pitted glaze|Shape: pear shaped body with a cylindrical slightly flaring neck, sits on a low foot ring. A strap handle is attached just below the rim and on the shoulder, covered on the exterior with a sliver gilt mount. Circular silver gilt mount on the base, a circular hinged lid on the rim is mounted with a finial and with a thumb rest; a strip is mounted on the handle running down to the base.|Exterior: three linear friezes on below the rim, on the shoulder and on the lower body comprise respectively black scalloped lines, black dashed lines with underlying blue lappets and roughly drawn black crenulations. These friezes enclose a pattern of blue pomegranates and scrolling red hyacinths that dominate the neck and body. Glaze covers the surface including the underside of the foot ring. The mounts are cast and engraved, with lappets on the base, reeded with a serrated edge on the handle, with lions’ masks and fruit on the lid and with a winged figure on the thumb rest.|Interior: Glazed but otherwise undecorated.",Late 16th Century|Elizabethan|Ottoman|Circa 1580 CE - Circa 1593 CE,Ottoman,"colourless, slightly pitted, covers the surface including the underside of the foot ring Glaze|Fritware",https://data.fitzmuseum.cam.ac.uk/id/object/77216
67,NA,Potter: Unknown,Accession number: C.144-1935|Primary reference Number: 72009|Old accession number: 4-1935|Old object number: G.ADD 59|Old number: BP.20|Stable URI,Fritware (stonepaste),Bowl|Islamic pottery|Minai,"Method of acquisition: Bought (1935) by Brangwyn, Frank","Fritware coated in a white glaze painted in six colours and gilded Fritware, wheel thrown, coated in white glaze painted with blue, black, red, green, yellow, purple and flesh tones and gilded.
Shape: hemispherical bowl with collared neck, sits on a low foot ring
Interior: the rim is painted with a blue dentilated pattern. On the neck and around the edge of the roundel, a kufic inscription is outlined in black and reserved in blue. On the body pairs of opposed, gesticulating male figures wear blue, purple or green patterned robes with gilding and red, purple or blue hats. Green tear-drop cartouche adorned with blue or red circles separate the pairs of figures. On the base, a mounted horseman, dressed in purple robes, rides a blue dappled horse and supports two hawks.
Exterior: the rim is painted blue, on the neck a naskh inscription is painted in black. Glaze covers the exterior surface evenly except the underside of the foot ring.",Late 12th or early 13th century|Circa 1170 CE - Circa 1220 CE,Seljuk,Fritware,https://data.fitzmuseum.cam.ac.uk/id/object/72009
68,NA,NA,Accession number: C.1945-1928|Primary reference Number: 76541|Stable URI,Lead-glazed earthenware,Money box,NA,NA,NA,NA,NA,https://data.fitzmuseum.cam.ac.uk/id/object/76541
69,NA,Production: Unknown,Accession number: C.2311-1928|Primary reference Number: 76712|Stable URI,Tin-glazed earthenware,Sugar castor,NA,NA,NA,NA,NA,https://data.fitzmuseum.cam.ac.uk/id/object/76712
70,NA,"Potter: Miura, Kenya (Kenzan V) (1821-1889)",Accession number: C.171-1934|Primary reference Number: 72489|Old number: BJ.147|Stable URI,Earthenware,Water container|Japanese pottery,"Method of acquisition: Bought (1934-09-20) by Brangwyn, Frank","Earthenware water container, thrown and turned with turned-out base having two wide pieces carved out of the rim. Light fawn base glaze partially covered with bands of white slip, boldly decorated with fern fronds in black, and green grass. A wide area of rough black Raku glaze represents the ground. A tong mark indicates a Raku firing.",19th century|Edo period (1615-1868) / Meiji period (1868-1912)|Circa 1800 CE - 1889 CE,NA,light fawn base glaze Glaze|Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/72489
71,Taylor riding on a Goat,"Factory: Derby Porcelain Factory|Modeller: Kändler, Johann Joachim (After)|Modeller: Eberlein, Johann Friedrich (After)",Accession number: C.105-1932|Primary reference Number: 82425|Stable URI,Soft-paste porcelain,Figure,"Method of acquisition: Given (1932) by Dickson, W. D. (Frances Louisa), Mrs","Soft-paste porcelain painted in polychrome enamels. Soft-paste porcelain, slip-cast, with applied hand-modelled details, lead-glazed, and painted overgraze in dark blue, green, yellow, flesh, red, pale, mid- and dark brown, grey, and black enamels, and gilt. The underside has a large, circular, central ventilation hole, and has been ground down to level it so that very little glaze remains. The rounded oval mound base is moulded round the front with a rocaille frill flanked by scrolls, and rises up in the middle into a circular green stump decorated with four clumps of applied flowers and leaves. The taylor rides on a Billy goat which is going to the viewer’s left, supported underneath by the stump. He holds the goat’s left horn in his left hand and in his raised right hand holds a bat. He has a ruddy complexion, red lips, and a white wig. He wears a black tricorn hat, a dark brown coat with gold edges and buttons, gold garters at the knee of his beeches, and black shoes with buckles. A basket containing two kids is strapped to his back, and a pair of scissors, two small bags, and some rolled white material protrude from his left pocket (facing the viewer). The goat is painted in shades of brown, and has yellowish-grey horns, and black hooves. A pair of pistols is suspended in holsters on either side of its neck, and it carries a flat iron in its mouth. The base is coloured green and brown, the flowers are white and red with yellow centres, white and blue with yellow centres, white with yellow and red centres, and white with yellow centres. The scrolls and ‘frill’ are picked out in gold.",Late 18th century|George III|Production date: circa AD 1800,Rococo,presumed lead Lead-glaze|Soft-paste porcelain,https://data.fitzmuseum.cam.ac.uk/id/object/82425
72,Inkstand with River God,Workshop: Patanazzi family (Probably),Accession number: C.229 & A-1991|Primary reference Number: 73313|Packing number: EURCER 324|Stable URI,Tin-glazed earthenware|Maiolica,Inkstand|Drawer (furniture component),"Method of acquisition: Bequeathed (1991-04-29) by Reitlinger, Henry Scipio","Renaissance maiolica inkstand, painted in polychrome, with a moulded river god on the top and grotesques decorated on the sides. Earthenware, tin-glazed overall except for the edge of the base. Painted in blue, green, yellow, orange, manganese-purple, black, and white. Rectangular with projecting mouldings at the top and bottom, and a drawer at the front. A slightly raised platform on the top supports a river god who reclines with his left elbow resting on an urn with water flowing from it. Behind him to the left there is a clump of reeds and on the front left corner, a vase for ink.
The river god, reeds and water are coloured naturalistically. The sides are decorated with grotesques in narrow panels framed by yellow and orange, and blue and white, borders. The inkwell is spattered to resemble coloured marble, and the urn is streaked in yellow and orange.",16th century|Early 17th Century|Renaissance|Circa 1575 CE - 1605 CE,Renaissance,except for the edge of the base Tin-glaze|Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/73313
73,Owl Jug,Production: Unidentified Staffordshire Pottery,Accession number: C.252 & A-1928|Primary reference Number: 73655|Old object number: 2736|Stable URI,Lead-glazed earthenware|Slipware,Owl jug|Cover,"Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Earthenware, thrown in two parts, decorated with slip-trailing in two shades of brown and white slip, and lead-glazed",Late 17th Century|Circa 1680 - Circa 1700,NA,Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/73655
74,NA,Production: Unidentified Liverpool pottery,Accession number: C.1548-1928|Primary reference Number: 72198|Old object number: 3630|Stable URI,Tin-glazed earthenware|English delftware,Feeding cup|English delftware|invalid feeding cup,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Tin-glazed earthenware painted in blue with flowers and foliage Buff earthenware, tin-glazed bluish-white and painted in blue. Cylindrical with slightly sloping sides,and a partly covered top above the long, straight spout, and a loop handle with a upward tilting lower terminal.The sides are each decorated with stylized flowers and foliage.",Third quarter of 18th century|George III|Circa 1760 CE - Circa 1775 CE,NA,bluish-white Tin-glaze|buff Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/72198
75,NA,"Pottery: Conrade Pottery|Painter: Lefebvre, Denis",Accession number: C.2314 & A-1928|Primary reference Number: 73338|Old object number: 4172|Stable URI,Tin-glazed earthenware|Faïence,Vase|Cover|baluster vase and cover,"Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Baluster vase and cover of tin-glazed earthenware painted in polychrome with a scene from the story of Samson and Delilah, Signed and dated DLF/1644 Pale buff earthenware, tin-glazed off-white on the exterior, and more thinly and unevenly on the interior; base unglazed except for a few small dribbles. The glaze on the interior is tinged with green, and the glaze under the cover has crawled in two places. The vase is painted in blue, green, yellow, orange, beige, brown, manganese-purple, black, and white high-temperature colours. Baluster-shaped with octagonal lower part, and octagonal cover, domed in the centre, and surmounted by a cone-shaped finial which is a replacement in hard-paste porcelain held on by a dowel. The sides are decorated with a continuous scene of Samson and Delilah with in the background, a lake (or the sea), buildings on islands or the shore, and distant mountains. Samson with the ass's jawbone in one hand, lies asleep against the knees of Delilah, who holds a pair of scissors, and has already cut off some of his hair. Behind her are five Phillistines dressed in Roman style armour, one holding a rope to bind Samson. On the right there are two columns and a tent, and on the left, a column and behind it in the distance, a troop of soldiers. On the other side there is a standing soldier on the extreme left, some armour on the ground, and a man to its right pointing towards it. Further to the right are two standing soldiers, one resting his arm on a shield. Behind him are three tents. On the ground to the right of the man wth the shield, there is a stone block inscribed 'DL(joined) F/1644'. The cover is decorated with blue waves on which there is a mermaid holding a torch, a triton, Neptune reclining on a fish with a putto in front of hime, shells, and a large fish. The finial is blue with remnants of gilding.",Mid 17th century|Production date: AD 1644 : dated,Renaissance,NA,https://data.fitzmuseum.cam.ac.uk/id/object/73338
76,NA,Factory: uncertain,Accession number: C.11 & A-2006|Primary reference Number: 131126|Entry form number: 815|Stable URI,Eggshell (pottery style),Cup and saucer|Kutani ware,"Method of acquisition: Given (2006-06-12) by Scrase, David E.","Eggshell porcelain, Kutani ware, decorated in enamels with an army|of grasshoppers marching in a landscape. Six flying birds decorate the|inside rim of the cup. Another four flying birds decorate the bottom of the cup surrounding a fan which bears an inscription of the name of a workshop in Yokohama.",Circa 1900 CE - 1930 CE,Kutani ware,clear Glaze|eggshell Porcelain,https://data.fitzmuseum.cam.ac.uk/id/object/131126
77,NA,"Production: The White Star Factory|Proprietor of factory: Berg, Dirck van den",Accession number: C.2450 & A-1928|Primary reference Number: 73532|Old object number: 2654|Stable URI,Tin-glazed earthenware|Delftware,Butter dish|Cover|butter tub,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Tin-glazed earthenware painted in blue with rural scenes Tin-glazed earthenware painted in blue. The circular, tub-shaped butter dish has horizontal reeding at the top and bottom of the sides, and two upright pierced arch-shaped lugs on opposing sides. The very slightly convex cover has shallow rectangular indentations cut in the edge to accommodate the lugs, and a vertical shaped handle with a rectangular hole in the lower edge. The sides of the tub are decorated with a continuous landscape with buildings and trees. On one side a man is walking to the left holding a staff in his right hand. On the other side, two farm labourers are raking hay, and there are three haycocks in the background. Each lug is decorated with a rosette. The upper half of the top of the cover is decorated with a building on the right, and a man walking to the left between two trees. The lower half has three haycocks, two men raking hay , and on the right, a a girl holding a rake. On the base is the factory mark.",Last quarter of 18th century|Circa 1776 CE - 1793 CE,NA,Tin-glaze|Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/73532
78,NA,Factory: Unidentified Staffordshire factory,Accession number: C.698-1928|Primary reference Number: 75847|Old object number: 2508|Stable URI,Lead-glazed earthenware,Tea caddy,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Earthenware, press-moulded with a geometrical pattern under translucent green lead glaze; rectangular with a cylindrical neck",Circa 1760 CE - 1765 CE,Rococo,Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/75847
79,NA,"Production: Lötscher, Andreas",Accession number: C.1969-1928|Primary reference Number: 72917|Old object number: 2041|Stable URI,Lead-glazed earthenware,Wall cistern,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Slip-coated earthenware painted in manganese-purple, olive-green, red and yellow with flowers Buff earthenware, coated overall except for the back with white slip, and painted in olive-green, red, yellow, and manganese-purple under a clear lead-glaze. The cistern is semi-circular in plan with straight sides and two twisted handles on opposing sides. The domed top is cut away at the back, and is surmounted by an applied twist. In the middle of the front, a mask in relief is flanked by painted sprays of flowers, and below it, there is a hole in which is inserted a brass tap in the from of a monster's head.",Early 19th Century|Production date: circa AD 1823,NA,presumed lead-glaze Lead-glaze|High-temperature colours|Slip|Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/72917
80,Watch Stand with figures of a Boy and Dog,Factory: Unidentified Nevers factory (Probably),Accession number: C.2330-1928|Primary reference Number: 73368|Old object number: 2211|Stable URI,Tin-glazed earthenware,Watch stand,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Tin-glazed earthenware painted in polychrome high-temperature colours Tin-glazed earthenware painted in blue, olive-green, yellow, manganese-purple, purple, pale and dark brown. The rectangular base is open underneath and is decorated on top to resemble a grassy mound. The circular watch holder with a rococo frilled and scrolled edge is supported by a branch of scrollwork and a tree trunk growing upwards from the viewer's left of the base. A barefooted boy holding a blue ball in his right hand and pointing upwards with his left hand sits on the mound with his back to the tree trunk. He wears a white shirt, manganese-purple jacket and pale brown breeches, His yellow broad-brimmed hat trimmed with ribbons lies on the ground to the left. A small white dog with purple and brown patches dog sits to the right of him.",Third quarter of 18th century|Louis XV|Production date: circa AD 1760,Rococo,Tin-glaze|Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/73368
81,NA,Pottery: Unidentified Staffordshire Pottery,Accession number: C.22-2015|Primary reference Number: 201538|Old object number: 103|Entry form number: 648|Old loan number: AAL.22-2015|Stable URI,Lead-glazed earthenware|Coloured glaze ware,Dessert dish|dish,"Method of acquisition: Bequeathed (2015-04-27) by Batchelor, Ivor, Sir and Lady","Earthenware dessert dish moulded with fruit, nuts, rococo scrolls and diaper, and decorated with coloured glazes Dark cream earthenware, press-moulded with integral relief decoration, pierced, and decorated with green, yellow and manganese-brown coloured glazes. The green glaze does not cover the whole of the area inside the footring, but shows the dark cream body. The circular dish has a pierced basket-work border, curved sides, and flat central area. The front is decorated with a central medallion with a yellow rope edging and wickerwork ground enclosing three paired scrolls within a roughly triangular frame of scrolls all in green. On the sides there are three scroll-edged compartments, each enclosing four different fruits and nuts on twigs with leaves suspended from the basket-work border. The space beween the fruits and the central medallion is filled with panels of trellis diaper alternating with panels of striations.",3rd quarter 18th Century|George II|George III|Circa 1755 CE - 1765 CE,Rococo,"green, yellow and manganese oxide Lead-glaze|Earthenware",https://data.fitzmuseum.cam.ac.uk/id/object/201538
82,NA,Production: Unidentified,Accession number: C.1882 & A-1928|Primary reference Number: 72805|Old mobject number: 2046|Stable URI,Lead-glazed earthenware,Bowl|Cover|bowl and cover,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Red earthenware painted in green, yellow, brown and blue and lead-glazed. The bowl is in the shape of a depressed cone or artichoke with scales moulded in relief, and stands on a short stem rising from a wide circular foot with small relief sprays applied to its top. The inside is painted in red with the initials 'HV R' and the date '1764'. The underside of the lid is incised with the initials 'S R' and 'H x R' with the date '1774' between them",Third quarter of 18th century|Production date: dated AD 1764,NA,Lead-glaze|Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/72805
83,Spill vase with two cows,Factory: Unidentified factory|Pottery: John Walton (Possibly),Accession number: C.947B-1928|Primary reference Number: 76428|Old object number: 3215|Stable URI,Earthenware|Lead-glazed earthenware,Figure group|Animal figure group|Spill vase|Staffordshire figure group (early),"Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Earthenware figure group, moulded and modelled, lead glazed and painted with polychrome enamels. Earthenware figure group with two cows, one on either side of a tall hollow tree trunk. The tops of the trunk and its two branches are open, forming the spill vase. In the hollow of the tree, a boy sits playing a pipe, his right leg crossed over his left, some music on his lap and his hat hung beside him on the trunk. A milkmaid on a three-legged stool milks the left-hand cow and a herd leans against the other. Two white birds sit at the boy’s feet. Behind each cow is a leafy tree with flowers. The scene is painted in bright coloured enamels: the trunks brown with red-brown interior striped with cream; the leaves green with blue and red flowers; the cows brown and white; the maid in flowered dress and white cap; the herd in pale green coat and black hat; and the boy in striped shirt and brown jacket. It stands on a wide mounded base which is painted green and brown and decorated with applied leaves and flowers, as if fallen from the bocage, and scattered green clumps. The back is flattened, but fully shaped and decorated. The underside of the base is recessed slightly under each cow and glazed inside a narrow foot-rim.",Early 19th Century|Circa 1810 CE - Circa 1825 CE,NA,white Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/76428
84,NA,NA,Accession number: C.1899-1928|Primary reference Number: 72826|Old object number: 4200|Stable URI,Lead-glazed earthenware|Swiss slipware,Coffee pot,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr",NA,Mid 18th Century|Production date: dated AD 1754,NA,Lead-glaze,https://data.fitzmuseum.cam.ac.uk/id/object/72826
85,The Contest between the Muses and the Pierides,"Workshop: Durantino, Guido|Painter: Gatti, Camillo (Attributed)|Painter: Rosso Fiorentino (Giovanni Battista di Jacopo) (After)|Printmaker: Caraglio, Giovanni Giacomo (After)",Accession number: EC.35-1942|Primary reference Number: 47105|Stable URI,Tin-glazed earthenware|Maiolica,Dish,Method of acquisition: Bought (1942-10-16) by Sotheby's,"Maiolica dish, painted in polychrome, with The Contest between the Muses and the Pierides. Pale buff earthenware, tin-glazed on both sides; the glaze on the reverse is pale beige and speckled. Painted in blue, green, yellow, orange, beige, brown, manganese, black, and a little white high-lighting. Shape 64. Circular with narrow rim, and wide, shallow well. The Contest between the Muses and the Pierides. The nine daughters of Pierus stand on the right separated by a stream from the Muses, led by Callipte who holds a harp. Above, a group of nymphs, gods and goddesses, including Apollo and Minerva, serve as judges. In the landscape background there are stunted trees on hills, and on the right, a coastline with buildings and distant mountains. The edge is yellow. The back is inscribed in the middle in blue, 'Ausae Cum Musjs Committere proelja/Voce Victae nunc Volitant jmmitantes/omnia pjcae/Fatto jn Urbino in Botega de Mo (o raised)/Guido da Casteldurante' (Having dared to have contests with the Muses and defeated by voice, they now fly away as magpies imitating everything). Single yellow bands encircle the junction of the rim and well, and the outer edge.",Mid 16th century|Renaissance|Circa 1545 CE - 1550 CE,Renaissance,metallic oxide colours High-temperature colours|pale buff Earthenware|Tin-glaze,https://data.fitzmuseum.cam.ac.uk/id/object/47105
86,NA,Production: Workshop 3,Accession number: C.1917 & A-1928|Primary reference Number: 72855|Old object number: 2051|Stable URI,Lead-glazed earthenware,Bowl|Cover|tureen,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr",NA,Early 19th Century|Production date: dated AD 1816,NA,green and manganese-purple Oxide colours|Lead-glaze|Slip|Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/72855
87,NA,Production: unidentified Langnau pottery,Accession number: C.1889 & A-1928|Primary reference Number: 72812|Old object number: 1839|Stable URI,Lead-glazed earthenware|Swiss slipware,Sugar bowl,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr",NA,Late 18th century|Circa 1780 - 1800,NA,red Earthenware|Lead-glaze,https://data.fitzmuseum.cam.ac.uk/id/object/72812
